lr,weight_decay,dropout_rate,clip_value,hidden_dims,activation,epochs,early_stopping_patience,use_bn,val_mse,time_s,trial
0.0029106359131330704,0.0006251373574521745,0.11160536907441138,3.814120463738056,"[256, 128, 64, 32]",relu,5,15,True,0.34854233264923096,9.42953896522522,1
0.0015930522616241021,0.001331121608073689,0.35800980646120173,3.6559623811560615,"[256, 128, 64]",leaky_relu,5,15,True,0.38735324144363403,7.233673810958862,4
0.0016738085788752138,2.621087878265438e-05,0.4865578819896853,2.2034046974375907,"[256, 128, 64, 32]",elu,5,15,True,0.39086827635765076,8.420442819595337,10
0.0004059611610484307,0.00037520558551242813,0.048358188416732006,4.31372464856357,"[256, 128, 64, 32]",elu,5,15,True,0.4010096490383148,8.553120851516724,8
0.004622589001020831,4.335281794951564e-05,0.34906969749411343,2.0311273243309635,"[128, 64]",leaky_relu,5,15,True,0.4010595679283142,5.101151704788208,6
0.00013066739238053285,0.003967605077052989,0.1163304466953698,3.2090842807249116,"[256, 128, 64, 32]",leaky_relu,5,15,True,0.48973196744918823,7.9759392738342285,3
0.0007309539835912913,7.476312062252303e-05,0.4035641366371901,3.7837930401221804,"[256, 128, 64, 32]",relu,5,15,True,0.5001968145370483,7.8681488037109375,9
0.0002310201887845295,3.5498788321965036e-05,0.4786065361033906,2.0146754530068205,"[64, 32]",selu,5,15,True,0.6012859344482422,4.962436676025391,7
0.0002051338263087451,2.9375384576328295e-05,0.29524625622451983,0.6430220576680261,"[64, 32]",leaky_relu,5,15,True,0.6572886109352112,5.828303337097168,2
0.00010994335574766199,0.008123245085588688,0.2246045231419268,1.7518581870379824,"[64, 32]",leaky_relu,5,15,True,0.8207353353500366,4.824113130569458,5
